,Latitude,longitude,population/million,area/km^2,,Population Density,Number of recent cases,Weighted number of cases (historic),Weighted death rate (historic),,,Normalised population density,Normalised number of cases(historic),Normalised weighted death rate,,Normalised number of recent cases,Ratio recent vs last,Score Index
Amran,16.15,43.92,"1,123,651","9,587",,117.2056952,438,83387,0.2267,,,0.008558327,0.09790901,0.040006976,,0.073502265,0.1,0.071034516
Al Mahwit,15.38,43.57,"732,360","2,858",,256.2491253,292,49220,0.3239,,,0.018711239,0.057792228,0.057166141,,0.04900151,,0.048557013
Al Dhale'e,13.83,44.74,"602,613","4,786",,125.9116172,6,41787,0.2039,,,0.009194031,0.049064954,0.035990338,,0.00100688,,0.004047836
Hajjah,16.09,43.25,"1,887,213","10,141",,186.0973277,822,94111,0.4819,,,0.013588775,0.110501268,0.085052659,,0.137942608,,0.13111977
Sana'a,15.35,44.32,"2,279,665","15,052",,151.4526309,837,58869,0.2461,,,0.011059029,0.069121461,0.043432115,,0.140459809,,0.130534248
Dhamar,14.6,44.17,"1,697,067","10,495",,161.7024297,905,77656,0.2403,,,0.011807466,0.091179788,0.042414648,,0.151871119,,0.141530737
Abyan,13.68,46.09,"658,824","21,939",,30.02980993,0,25226,0.1588,,,0.002192768,0.029618982,0.028029027,,0,,0.001994693
Al Hudaydah,14.79,43.19,"3,774,914","17,509",,215.5984922,646,127834,0.2182,,,0.015742941,0.15009726,0.038507291,,0.108407451,,0.104378289
Al Bayda,14.28,45.34,"835,683","11,193",,74.66121683,278,23984,0.1367,,,0.005451741,0.028160446,0.024127287,,0.046652123,,0.04391156
Amanat Al Asimah,15.4,44.21,"1,174,767",126,,9323.547619,477,83276,0.0844,,,0.680802832,0.097778827,0.014888792,,0.080046988,,0.098491304
Al Jawf,16.59,45.77,"663,147","30,620",,21.65731548,6,13458,0.1655,,,0.001581411,0.015801511,0.029214783,,0.00100688,,0.002459449
Raymah,14.63,43.67,"502,505","3,442",,145.9921557,479,13199,0.8946,,,0.010660306,0.015497768,0.157892103,,0.080382615,,0.078479359
Lahj,13.08,44.48,"926,291","15,210",,60.90013149,7,20096,0.1250,,,0.004446911,0.023595348,0.022059006,,0.001174694,,0.002727267
Aden,12.83,44.83,"1,087,653","1,114",,976.3491921,22,18421,0.3461,,,0.071292744,0.021628589,0.061092237,,0.003691895,,0.008456491
Ibb,14.06,44.14,"3,911,070","6,484",,603.187847,408,53691,0.5534,,,0.044044607,0.063042162,0.097679145,,0.068467864,,0.068446608
Taizz,13.43,43.83,"4,554,443","12,605",,361.3203491,335,50943,0.3791,,,0.026383511,0.059814464,0.066906334,,0.056217486,,0.055699214
Marib,15.41,45.46,"504,696","20,023",,25.20581331,0,6097,0.1181,,,0.001840521,0.007158831,0.020841982,,0,,0.000994711
Sa'ada,17.02,43.96,"987,663","15,022",,65.74776994,1,7534,0.0917,,,0.004800884,0.008845787,0.016185394,,0.000167813,,0.001145434
Al Maharah,16.6,51.57,"400,000","122,500",,3.265306122,0,1158,0.0903,,,0.000238432,0.001359183,0.015934708,,0,,0.000584411
Shabwah,14.6,45.94,"651,509","47,728",,13.65045675,0,1208,0.2103,,,0.000996753,0.00141844,0.037119202,,0,,0.001317813
Moklla,14.54,49.13,"300,000",480,,625,0,505,0.3709,,,0.045637325,0.000593435,0.065459831,,0,,0.00372302
Say'on,15.94,48.8,"75,700",504,,150.1984127,0,17,0.0000,,,0.010967446,2.02561E-05,0,,0,,0.000366257
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,1,,1,,1
102231,101793,,,,,,,,,,,,,,,,,
61097,60805,,,,,,,,,,,,,,,,,
47132,47126,,,,,,,,,,,,,,,,,
118468,117646,,,,,,,,,,,,,,,,,
74103,73266,,,,,,,,,,,,,,,,,
99766,98861,,,,,,,,,,,,,,,,,
28241,28241,,,,,,,,,,,,,,,,,
150965,150319,,,,,,,,,,,,,,,,,
28730,28452,,,,,,,,,,,,,,,,,
99452,98975,,,,,,,,,,,,,,,,,
15827,15821,,,,,,,,,,,,,,,,,
16403,15924,,,,,,,,,,,,,,,,,
24341,24334,,,,,,,,,,,,,,,,,
20868,20846,,,,,,,,,,,,,,,,,
64536,64128,,,,,,,,,,,,,,,,,
62371,62036,,,,,,,,,,,,,,,,,
7285,7285,,,,,,,,,,,,,,,,,
10703,10702,,,,,,,,,,,,,,,,,
1168,1168,,,,,,,,,,,,,,,,,
1399,1399,,,,,,,,,,,,,,,,,
568,568,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,
